iter	Logloss
142	0.6206421015
143	0.6206008477
144	0.6204624788
145	0.6204070056
146	0.6202611071
147	0.6202413696
148	0.6201285589
149	0.6199812513
150	0.6198809726
151	0.6197756027
152	0.619668286
153	0.6195276805
154	0.6194370515
155	0.619252449
156	0.6190248064
157	0.6188005552
158	0.6186730996
159	0.6186192858
160	0.6185611567
161	0.618458157
162	0.6184008052
163	0.618199291
164	0.618023271
165	0.6179188637
166	0.6177889677
167	0.6176795344
168	0.6175887542
169	0.6174991777
170	0.6173586016
171	0.6171771405
172	0.6170630302
173	0.6170623814
174	0.6169275971
175	0.6168772201
176	0.6167274539
177	0.6166389533
178	0.6165520467
179	0.6164284248
180	0.6162782912
181	0.6161948553
182	0.616108808
183	0.615972704
184	0.6157851206
185	0.6157324945
186	0.6156866821
187	0.6155328668
188	0.61543314
189	0.6152933403
190	0.6152622478
191	0.6150694163
192	0.6149353548
193	0.6147511932
194	0.61462811
195	0.6146005678
196	0.6145056158
197	0.6143494448
198	0.6142089011
199	0.6141118751
200	0.6139719351
201	0.6138976744
202	0.6137350184
203	0.6136601833
204	0.6135562347
205	0.6134296153
206	0.6133561825
207	0.6132953739
208	0.6131883968
209	0.6130370686
210	0.6129681302
211	0.612899227
212	0.6128151245
213	0.6126696066
214	0.6125987599
215	0.6125258466
216	0.6123545897
217	0.6123095657
218	0.6122367404
219	0.6121660102
220	0.6121148813
221	0.6120435805
222	0.6119567969
223	0.6118875674
224	0.6117614793
225	0.6116165991
226	0.6114829117
227	0.6114033058
228	0.6111794297
229	0.6110636766
230	0.6109474079
231	0.6108220255
232	0.6106733639
233	0.6105364712
234	0.6105088667
235	0.6104189991
236	0.6103097053
237	0.610225575
238	0.6101687836
239	0.6100498844
240	0.6100042854
241	0.6099659942
242	0.6097761925
243	0.6096902268
244	0.6096464645
245	0.609562978
246	0.6094389445
247	0.6093283429
248	0.6092268631
249	0.6090524453
250	0.6089766486
251	0.6089394638
252	0.608849239
253	0.6087473724
254	0.6085855236
255	0.6084997004
256	0.6083965756
257	0.6083661496
258	0.6082323025
259	0.6081538472
260	0.6081102994
261	0.6080126022
262	0.6078991669
263	0.6078441155
264	0.607745874
265	0.6076289204
266	0.6075446568
267	0.6074129918
268	0.6073473912
269	0.6071826421
270	0.6071226699
271	0.607019713
272	0.606971595
273	0.6069027768
274	0.6068517533
275	0.6068124385
276	0.6067577755
277	0.6066907981
278	0.6066102584
279	0.6064959642
280	0.6064781443
281	0.6064284238
282	0.6062984287
283	0.6061829998
284	0.6060813631
285	0.6060747479
286	0.6059663336
287	0.6059554345
288	0.6058774981
289	0.6057224478
290	0.6056766936
291	0.6055940522
292	0.6054714025
293	0.6053672651
294	0.6053068447
295	0.6052455036
296	0.6051548004
297	0.6050432162
298	0.6049571624
299	0.6049078998
300	0.6047740811
301	0.6046759097
302	0.6046316629
303	0.6045406602
304	0.6044923129
305	0.6044558294
306	0.604290115
307	0.6042077839
308	0.6040116337
309	0.6039899549
310	0.6038980337
311	0.6038595648
312	0.6037814757
313	0.6037243523
314	0.6036775546
315	0.6035588588
316	0.6034798744
317	0.603367685
318	0.6032754376
319	0.6031603056
320	0.6031395828
321	0.6030839269
322	0.6029836175
323	0.6029024305
324	0.6027939511
325	0.6027439643
326	0.6027006026
327	0.6026396758
328	0.6025427386
329	0.6024273383
330	0.6023936934
331	0.602297985
332	0.6022261189
333	0.6021814196
334	0.6021271027
335	0.6020492227
336	0.6020057348
337	0.6019690245
338	0.6018245414
339	0.6017431141
340	0.6016837007
341	0.6015957975
342	0.601517639
343	0.6014512
344	0.6014292382
345	0.6013871864
346	0.6013205638
347	0.6012025554
348	0.6011011268
349	0.6010547707
350	0.600946132
351	0.600869093
352	0.6007511594
353	0.6006410513
354	0.6005244866
355	0.6004199038
356	0.600355006
357	0.6002813446
358	0.6002499182
359	0.6001687032
360	0.6000498479
361	0.5999708836
362	0.5998811156
363	0.5998519005
364	0.5998034119
365	0.5997584148
366	0.5996938022
367	0.59961754
368	0.5995807967
369	0.5994964213
370	0.5994322741
371	0.5993019005
372	0.5991805332
373	0.5991551865
374	0.5990139739
375	0.5989452162
376	0.5988411368
377	0.5987380046
378	0.5986756916
379	0.5985752116
380	0.5984909661
381	0.5984438041
382	0.5984084328
383	0.5983521937
384	0.5982841466
385	0.5982452799
386	0.5981656281
387	0.5980896838
388	0.5980257425
389	0.5980004374
390	0.5979591113
391	0.5979206373
392	0.5978687509
393	0.5978188028
394	0.5977966063
395	0.5977737009
396	0.5977276768
397	0.5976610611
398	0.5975474378
399	0.597457816
400	0.5974347372
401	0.5973920797
402	0.5973193676
403	0.5972529527
404	0.5971406365
405	0.5970350437
406	0.5969709986
407	0.5968949688
408	0.59681419
409	0.5967759853
410	0.5967470206
411	0.5966861797
412	0.5966377265
413	0.5965876234
414	0.5965183322
415	0.596493288
416	0.5963447601
417	0.596264729
418	0.5961900797
419	0.5960435964
420	0.5959654984
421	0.5958910624
422	0.5957936945
423	0.5957576828
424	0.5956703252
425	0.5955985584
426	0.5955606359
427	0.5954846227
428	0.5953602098
429	0.5953170244
430	0.5952700144
431	0.59515257
432	0.5950965217
433	0.5949855154
434	0.5948734463
435	0.5948480902
436	0.5948108027
437	0.5947216935
438	0.5946734006
439	0.5946322028
440	0.5945915604
441	0.5944947542
442	0.5944328299
443	0.5943415438
444	0.5943238507
445	0.5942557013
446	0.59412495
447	0.5940497419
448	0.5939958702
449	0.593955454
450	0.593894125
451	0.5938427023
452	0.5936805401
453	0.5936677091
454	0.5935891744
455	0.5934496651
456	0.5934279518
457	0.5934051498
458	0.5933305966
459	0.5932740451
460	0.5931676767
461	0.5930827933
462	0.5930622698
463	0.5929462744
464	0.5928773816
465	0.5928324928
466	0.5927378174
467	0.592661773
468	0.5925973373
469	0.5925199643
470	0.5924901118
471	0.5924115663
472	0.5923781846
473	0.5923537126
474	0.592312825
475	0.592278241
476	0.5922370556
477	0.5921971324
478	0.5920862683
479	0.5920146197
480	0.5919844951
481	0.5919443433
482	0.591885151
483	0.5918420642
484	0.5917985936
485	0.5917657276
486	0.5917350433
487	0.5916483037
488	0.5915819283
489	0.5915283858
490	0.5914352189
491	0.5913536951
492	0.5913138331
493	0.5912582809
494	0.5911625324
495	0.591122416
496	0.5911053651
497	0.591096699
498	0.5910506553
499	0.5910206028
500	0.5909797826
501	0.5909067767
502	0.5908855794
503	0.5908297798
504	0.5907656477
505	0.590687242
506	0.5906517591
507	0.5906019537
508	0.5905483019
509	0.5905226555
510	0.5904358549
511	0.5903465973
512	0.5902646971
513	0.5902215206
514	0.5902115277
515	0.5901572926
516	0.5901282192
517	0.5900628431
518	0.5899817394
519	0.5899332971
520	0.5899071202
521	0.5898841156
522	0.5898704853
523	0.5898066603
524	0.589760301
525	0.5897241449
526	0.5895990385
527	0.5895828507
528	0.5895335286
529	0.5894517694
530	0.5894333459
531	0.5893208398
532	0.5892479692
533	0.5891485054
534	0.5891287879
535	0.589073819
536	0.5890507994
537	0.5890127931
538	0.588966484
539	0.5889414512
540	0.5889035817
541	0.5888576213
542	0.5888074472
543	0.5887718647
544	0.5887450679
545	0.5887138719
546	0.5886645948
547	0.5886356884
548	0.5885726827
549	0.588484171
550	0.5884347239
551	0.5884154822
552	0.5883511334
553	0.5883032052
554	0.5882125232
555	0.5881721031
556	0.5880922126
557	0.5880167233
558	0.5879526512
559	0.5878756557
560	0.587806753
561	0.5877205555
562	0.5876585917
563	0.587590367
564	0.5875711849
565	0.5874822787
566	0.5874499716
567	0.5874035996
568	0.5873547533
569	0.5873188695
570	0.5872511492
571	0.5871787314
572	0.5870704044
573	0.5870223529
574	0.5870003993
575	0.5869487524
576	0.5868763036
577	0.5868236765
578	0.5867979358
579	0.5867662795
580	0.5867337865
581	0.5867022028
582	0.5866745792
583	0.5866140716
584	0.5865372786
585	0.5864987299
586	0.5864442223
587	0.5863862337
588	0.5863339569
589	0.5862845709
590	0.5862557929
591	0.5861952439
592	0.5861483425
593	0.5861309062
594	0.5860688033
595	0.5860248745
596	0.5859819562
597	0.5859033164
598	0.5858383198
599	0.5858225972
600	0.585781588
601	0.5857202228
602	0.5856984195
603	0.5856425008
604	0.5855991194
605	0.5855629415
606	0.5855483726
607	0.5854630866
608	0.5854294045
609	0.5854018943
610	0.5853560793
611	0.5853152722
612	0.58528304
613	0.5852259304
614	0.5851818553
615	0.5851722793
616	0.5851223333
617	0.5851147718
618	0.5850937384
619	0.5850571993
620	0.5849921788
621	0.5849401031
622	0.5849117177
623	0.5848577579
624	0.5848379329
625	0.5847514734
626	0.5846802165
627	0.5846622817
628	0.5846389761
629	0.5845508202
630	0.5845368429
631	0.5844723886
632	0.5844468289
633	0.5844136808
634	0.5843689634
635	0.5843443903
636	0.5842648122
637	0.5842056756
638	0.5841683302
639	0.5840982444
640	0.5840733021
641	0.5839951267
642	0.5839355201
643	0.5838978712
644	0.5838740766
645	0.5838644288
646	0.5837801807
647	0.5836950244
648	0.5836006596
649	0.5835249994
650	0.5834764847
651	0.583458714
652	0.5834334992
653	0.5834066185
654	0.5833986444
655	0.5833530803
656	0.5832883837
657	0.5832363739
658	0.5831762749
659	0.5831449524
660	0.5831359764
661	0.5830861984
662	0.583044696
663	0.5830234488
664	0.5829977694
665	0.5829400307
666	0.5828750441
667	0.5828538384
668	0.582768994
669	0.5827529004
670	0.5827142242
671	0.582691672
672	0.5826490756
673	0.5826086864
674	0.582559863
675	0.5825193887
676	0.5824829345
677	0.5824078951
678	0.582371831
679	0.5823542647
680	0.5823229101
681	0.5822491336
682	0.5821857447
683	0.5821623147
684	0.5821423463
685	0.5821229221
686	0.5820878544
687	0.5820564036
688	0.5820256017
689	0.5820033343
690	0.5819770814
691	0.5819478207
692	0.5818295188
693	0.58175897
694	0.5817403018
695	0.5817147895
696	0.5816844394
697	0.581629091
698	0.5815550449
699	0.5815052798
700	0.5814660167
701	0.581423622
702	0.5813749992
703	0.5813347251
704	0.5812445468
705	0.5811972689
706	0.5811417102
707	0.5811294375
708	0.5810907817
709	0.5810228089
710	0.580978229
711	0.5809374516
712	0.5808507893
713	0.5808310108
714	0.580789956
715	0.5806975422
716	0.5806668108
717	0.5806213455
718	0.5805825594
719	0.5805379136
720	0.5805001353
721	0.5804705875
722	0.5804583887
723	0.5804207668
724	0.5803785623
725	0.5803498326
726	0.5803143259
727	0.5802419902
728	0.5801596975
729	0.580127958
730	0.5801071117
731	0.5800328365
732	0.5800025188
733	0.5799381528
734	0.5799007938
735	0.579878118
736	0.5798103111
737	0.5797523256
738	0.5797272334
739	0.5796933345
740	0.5796540999
741	0.5795907459
742	0.579528083
743	0.5795071585
744	0.5794576539
745	0.5793996278
746	0.5793344608
747	0.5792878921
748	0.5792739012
749	0.5792522091
750	0.5791992404
751	0.5791233394
752	0.579094054
753	0.5790667139
754	0.5790253111
755	0.578987152
756	0.5789412485
757	0.5789014512
758	0.5788704893
759	0.5788320647
760	0.5787603753
761	0.5787492303
762	0.5786841849
763	0.5786357824
764	0.5785586801
765	0.5784944975
766	0.5784365136
767	0.5783706759
768	0.5783266873
769	0.578315903
770	0.5782850612
771	0.5782347397
772	0.5781988633
773	0.5781484987
774	0.5780966771
775	0.578073662
776	0.5780161263
777	0.577980679
778	0.5779354737
779	0.5778746776
780	0.5778478206
781	0.5778110339
782	0.5777815442
783	0.5777566299
784	0.5777247437
785	0.5777044347
786	0.5776984859
787	0.577643257
788	0.5776210591
789	0.5776111311
790	0.5775749803
791	0.5774992957
792	0.5774836521
793	0.5774769055
794	0.5774316791
795	0.5774026182
796	0.5773829828
797	0.5773207972
798	0.5772983951
799	0.5772585078
800	0.5772092728
801	0.5771310967
802	0.5770997643
803	0.5770357077
804	0.5769946236
805	0.5769136188
806	0.5768504048
807	0.5768379176
808	0.5767080587
809	0.5766744267
810	0.5766395173
811	0.5766183203
812	0.5765947497
813	0.5765142636
814	0.5764973119
815	0.576462843
816	0.5764283173
817	0.5763747811
818	0.5763291805
819	0.5762484362
820	0.5762127246
821	0.5761540968
822	0.5760984545
823	0.5760678593
824	0.5760347133
825	0.5759961736
826	0.575917842
827	0.5758898761
828	0.5758253451
829	0.5757906938
830	0.5757571654
831	0.57568408
832	0.5756450588
833	0.5756055137
834	0.5755823464
835	0.5755461708
836	0.5755139432
837	0.5754810496
838	0.5754296356
839	0.5754139356
840	0.5753401283
841	0.575297012
842	0.5752440421
843	0.5752076042
844	0.5751828458
845	0.5751360911
846	0.5750840713
847	0.5750367761
848	0.5750058047
849	0.5749619553
850	0.5749054213
851	0.5748760138
852	0.5748538096
853	0.5748412299
854	0.5747994032
855	0.5747934074
856	0.5747503166
857	0.5747088308
858	0.5746764198
859	0.5746396364
860	0.5746240414
861	0.5745618089
862	0.5745027191
863	0.5744536186
864	0.5744175442
865	0.5743474456
866	0.5743180434
867	0.5742772392
868	0.5742605906
869	0.5742363122
870	0.5741979771
871	0.5741856859
872	0.5741279437
873	0.5740926488
874	0.574078355
875	0.5740613697
876	0.5739855414
877	0.5739465215
878	0.5739158553
879	0.5738795355
880	0.5738096271
881	0.5737784935
882	0.5737559239
883	0.5737298342
884	0.5737255455
885	0.5737032523
886	0.5736582342
887	0.5736353707
888	0.5736112124
889	0.5735783278
890	0.5735286075
891	0.5734752624
892	0.5734191285
893	0.5733863547
894	0.5733576757
895	0.5732900936
896	0.5732411621
897	0.5731994173
898	0.5731763631
899	0.5731361049
900	0.5730394611
901	0.5730262066
902	0.5729992071
903	0.5729581646
904	0.5729256639
905	0.5729056902
906	0.5728931001
907	0.5728365757
908	0.572765394
909	0.572710884
910	0.5726816434
911	0.5726662952
912	0.5726254648
913	0.5726074308
914	0.5725747065
915	0.5725469616
916	0.5725105461
917	0.5724834715
918	0.5724651994
919	0.5724457368
920	0.572422866
921	0.572353798
922	0.5722995598
923	0.5722218535
924	0.572184169
925	0.5721725846
926	0.5721434459
927	0.572129366
928	0.5721073438
929	0.5720969871
930	0.5720283441
931	0.5720185032
932	0.5719923491
933	0.5719570768
934	0.5719486468
935	0.5719025225
936	0.5718672637
937	0.5718212673
938	0.5718096953
939	0.5717709141
940	0.5717593782
941	0.5717568874
942	0.5716912734
943	0.5716604242
944	0.5716322734
945	0.5716113647
946	0.5715338999
947	0.5714839484
948	0.571471434
949	0.5714387982
950	0.5714335405
951	0.5713942927
952	0.5713780579
953	0.5713401789
954	0.571268332
955	0.5712400139
956	0.5712218337
957	0.571165153
958	0.571103879
959	0.571064228
960	0.5710214903
961	0.5710053458
962	0.5709759798
963	0.5709680035
964	0.5709364095
965	0.5708784042
966	0.5708190358
967	0.5708035293
968	0.5707794356
969	0.5707542468
970	0.5707339433
971	0.5706852379
972	0.5706199953
973	0.5706053179
974	0.5705663352
975	0.5705239564
976	0.5704687915
977	0.5704280607
978	0.5704099975
979	0.5703903965
980	0.5703378673
981	0.5703052499
982	0.5702192098
983	0.5701852378
984	0.5701614489
985	0.570111484
986	0.5700759678
987	0.570009919
988	0.5699712869
989	0.5698593157
990	0.569806316
991	0.5697623657
992	0.5696993026
993	0.5696486813
994	0.5696074963
995	0.5695793474
996	0.5695520114
997	0.569506411
998	0.569464275
999	0.5694414228
