iter	Passed	Remaining
471	2818	3152
472	2824	3146
473	2829	3140
474	2835	3133
475	2840	3127
476	2846	3121
477	2852	3114
478	2858	3108
479	2864	3103
480	2870	3097
481	2876	3091
482	2882	3084
483	2887	3078
484	2893	3072
485	2899	3066
486	2905	3060
487	2910	3054
488	2916	3047
489	2922	3041
490	2928	3035
491	2934	3029
492	2939	3023
493	2945	3017
494	2951	3010
495	2956	3004
496	2962	2998
497	2967	2991
498	2973	2985
499	2978	2978
500	2984	2972
501	2990	2966
502	2995	2959
503	3001	2953
504	3007	2947
505	3013	2941
506	3018	2935
507	3024	2928
508	3029	2922
509	3035	2916
510	3041	2910
511	3047	2905
512	3053	2899
513	3059	2893
514	3065	2886
515	3071	2880
516	3077	2874
517	3083	2868
518	3089	2863
519	3095	2857
520	3101	2851
521	3107	2845
522	3113	2839
523	3119	2833
524	3125	2827
525	3131	2821
526	3137	2815
527	3142	2809
528	3148	2803
529	3154	2797
530	3160	2791
531	3166	2785
532	3171	2779
533	3178	2773
534	3183	2767
535	3189	2760
536	3194	2754
537	3200	2748
538	3206	2742
539	3211	2736
540	3217	2729
541	3223	2723
542	3228	2717
543	3234	2711
544	3239	2704
545	3245	2698
546	3251	2692
547	3257	2686
548	3263	2680
549	3268	2674
550	3274	2668
551	3279	2661
552	3285	2655
553	3290	2649
554	3296	2643
555	3302	2637
556	3308	2631
557	3314	2625
558	3319	2618
559	3325	2612
560	3331	2606
561	3337	2600
562	3343	2594
563	3349	2588
564	3354	2582
565	3360	2576
566	3365	2570
567	3371	2564
568	3377	2558
569	3383	2552
570	3390	2547
571	3396	2541
572	3402	2535
573	3408	2529
574	3414	2523
575	3419	2517
576	3425	2511
577	3431	2505
578	3436	2499
579	3442	2492
580	3448	2486
581	3453	2480
582	3459	2474
583	3465	2468
584	3471	2462
585	3476	2456
586	3482	2450
587	3488	2444
588	3493	2438
589	3499	2432
590	3505	2425
591	3511	2419
592	3516	2413
593	3522	2407
594	3528	2401
595	3534	2395
596	3540	2389
597	3547	2384
598	3554	2379
599	3561	2374
600	3567	2368
601	3575	2363
602	3581	2358
603	3589	2353
604	3596	2348
605	3603	2343
606	3610	2337
607	3618	2332
608	3625	2327
609	3632	2322
610	3639	2316
611	3646	2311
612	3653	2306
613	3660	2301
614	3667	2295
615	3673	2290
616	3680	2284
617	3686	2278
618	3693	2273
619	3700	2267
620	3707	2262
621	3714	2257
622	3721	2251
623	3728	2246
624	3735	2241
625	3741	2235
626	3748	2230
627	3755	2224
628	3762	2218
629	3768	2213
630	3775	2207
631	3782	2202
632	3788	2196
633	3795	2191
634	3802	2185
635	3808	2179
636	3815	2174
637	3822	2169
638	3829	2163
639	3836	2157
640	3843	2152
641	3849	2146
642	3856	2141
643	3863	2135
644	3869	2129
645	3876	2124
646	3882	2118
647	3889	2112
648	3896	2107
649	3903	2101
650	3910	2096
651	3916	2090
652	3923	2084
653	3929	2078
654	3934	2072
655	3941	2066
656	3946	2060
657	3952	2054
658	3958	2048
659	3964	2042
660	3970	2036
661	3975	2029
662	3981	2023
663	3987	2017
664	3993	2011
665	3999	2005
666	4005	1999
667	4010	1993
668	4016	1987
669	4022	1981
670	4028	1975
671	4033	1968
672	4039	1962
673	4045	1956
674	4051	1950
675	4057	1944
676	4063	1938
677	4069	1932
678	4075	1926
679	4081	1920
680	4087	1914
681	4093	1908
682	4099	1902
683	4105	1896
684	4111	1890
685	4117	1884
686	4123	1878
687	4128	1872
688	4134	1866
689	4140	1860
690	4145	1853
691	4151	1847
692	4157	1841
693	4163	1835
694	4169	1829
695	4174	1823
696	4180	1817
697	4186	1811
698	4191	1805
699	4197	1799
700	4203	1792
701	4209	1786
702	4214	1780
703	4220	1774
704	4226	1768
705	4232	1762
706	4238	1756
707	4244	1750
708	4250	1744
709	4256	1738
710	4262	1732
711	4268	1726
712	4274	1720
713	4279	1714
714	4285	1708
715	4291	1702
716	4297	1696
717	4302	1689
718	4308	1683
719	4314	1677
720	4320	1671
721	4326	1665
722	4332	1659
723	4338	1653
724	4343	1647
725	4349	1641
726	4355	1635
727	4361	1629
728	4366	1623
729	4373	1617
730	4378	1611
731	4384	1605
732	4390	1599
733	4396	1593
734	4402	1587
735	4407	1581
736	4413	1575
737	4419	1568
738	4425	1562
739	4431	1556
740	4436	1550
741	4442	1544
742	4448	1538
743	4454	1532
744	4460	1526
745	4466	1520
746	4472	1514
747	4478	1508
748	4484	1502
749	4489	1496
750	4495	1490
751	4502	1484
752	4508	1478
753	4514	1472
754	4520	1466
755	4525	1460
756	4532	1455
757	4539	1449
758	4544	1443
759	4551	1437
760	4557	1431
761	4562	1425
762	4569	1419
763	4575	1413
764	4581	1407
765	4587	1401
766	4593	1395
767	4599	1389
768	4605	1383
769	4611	1377
770	4617	1371
771	4623	1365
772	4629	1359
773	4635	1353
774	4642	1347
775	4648	1341
776	4654	1335
777	4660	1329
778	4666	1323
779	4672	1317
780	4677	1311
781	4683	1305
782	4689	1299
783	4695	1293
784	4701	1287
785	4706	1281
786	4712	1275
787	4718	1269
788	4723	1263
789	4729	1257
790	4734	1251
791	4740	1245
792	4746	1239
793	4751	1232
794	4757	1226
795	4763	1220
796	4770	1215
797	4776	1209
798	4782	1203
799	4788	1197
800	4794	1191
801	4800	1185
802	4806	1179
803	4812	1173
804	4819	1167
805	4825	1161
806	4831	1155
807	4837	1149
808	4843	1143
809	4849	1137
810	4855	1131
811	4861	1125
812	4867	1119
813	4874	1113
814	4879	1107
815	4885	1101
816	4891	1095
817	4897	1089
818	4903	1083
819	4909	1077
820	4916	1071
821	4923	1066
822	4930	1060
823	4936	1054
824	4943	1048
825	4950	1042
826	4957	1037
827	4964	1031
828	4971	1025
829	4978	1019
830	4985	1013
831	4991	1007
832	4998	1002
833	5005	996
834	5012	990
835	5019	984
836	5025	978
837	5032	972
838	5039	967
839	5045	961
840	5053	955
841	5060	949
842	5067	943
843	5074	937
844	5081	932
845	5088	926
846	5095	920
847	5102	914
848	5109	908
849	5116	902
850	5123	897
851	5130	891
852	5137	885
853	5143	879
854	5150	873
855	5157	867
856	5163	861
857	5170	855
858	5177	849
859	5184	843
860	5190	838
861	5197	832
862	5204	826
863	5211	820
864	5218	814
865	5225	808
866	5231	802
867	5238	796
868	5245	790
869	5251	784
870	5258	778
871	5265	772
872	5272	766
873	5278	761
874	5284	754
875	5290	748
876	5296	742
877	5302	736
878	5308	730
879	5314	724
880	5320	718
881	5325	712
882	5331	706
883	5337	700
884	5342	694
885	5348	688
886	5354	682
887	5360	676
888	5366	670
889	5371	663
890	5377	657
891	5383	651
892	5389	645
893	5395	639
894	5400	633
895	5407	627
896	5413	621
897	5418	615
898	5424	609
899	5430	603
900	5436	597
901	5441	591
902	5447	585
903	5453	579
904	5458	573
905	5464	566
906	5470	560
907	5476	554
908	5482	548
909	5488	542
910	5493	536
911	5499	530
912	5505	524
913	5510	518
914	5517	512
915	5522	506
916	5528	500
917	5534	494
918	5540	488
919	5545	482
920	5551	476
921	5557	470
922	5563	464
923	5569	458
924	5575	452
925	5581	446
926	5587	440
927	5593	433
928	5598	427
929	5604	421
930	5610	415
931	5615	409
932	5621	403
933	5627	397
934	5633	391
935	5639	385
936	5644	379
937	5650	373
938	5656	367
939	5661	361
940	5667	355
941	5672	349
942	5678	343
943	5686	337
944	5692	331
945	5697	325
946	5703	319
947	5709	313
948	5715	307
949	5721	301
950	5727	295
951	5732	289
952	5738	283
953	5744	276
954	5749	270
955	5756	264
956	5762	258
957	5769	252
958	5775	246
959	5781	240
960	5786	234
961	5792	228
962	5798	222
963	5803	216
964	5809	210
965	5815	204
966	5821	198
967	5827	192
968	5833	186
969	5838	180
970	5844	174
971	5850	168
972	5856	162
973	5862	156
974	5867	150
975	5873	144
976	5879	138
977	5885	132
978	5891	126
979	5897	120
980	5903	114
981	5908	108
982	5914	102
983	5919	96
984	5925	90
985	5931	84
986	5937	78
987	5944	72
988	5952	66
989	5960	60
990	5966	54
991	5973	48
992	5980	42
993	5988	36
994	5995	30
995	6003	24
996	6011	18
997	6018	12
998	6027	6
999	6036	0
